['scene0450_00', 'scene0026_00', 'scene0276_00', 'scene0272_00', 'scene0406_02', 'scene0309_00', 'scene0210_01', 'scene0208_00', 'scene0206_00', 'scene0435_00', 'scene0338_00', 'scene0457_00', 'scene0000_02', 'scene0389_00', 'scene0269_01', 'scene0238_00', 'scene0259_00', 'scene0452_01', 'scene0424_01', 'scene0048_00']
Rotation: 	percentage below 3.000000 = 0.325088
Rotation: 	percentage below 5.000000 = 0.339944
Rotation: 	percentage below 10.000000 = 0.365404
Rotation: 	percentage below 30.000000 = 0.432239
Rotation: 	percentage below 45.000000 = 0.472149
Rotation: Mean=65.211251
Translation: 	percentage below 0.050000 = 0.272897
Translation: 	percentage below 0.100000 = 0.300686
Translation: 	percentage below 0.250000 = 0.340632
Translation: 	percentage below 0.500000 = 0.406461
Translation: 	percentage below 0.750000 = 0.472943
Translation: 	Mean=1.284236
Rotation: 	percentage below 3.000000 = 0.252180
Rotation: 	percentage below 5.000000 = 0.266765
Rotation: 	percentage below 10.000000 = 0.291718
Rotation: 	percentage below 30.000000 = 0.360852
Rotation: 	percentage below 45.000000 = 0.405428
Rotation: Mean=72.970108
Translation: 	percentage below 0.050000 = 0.205713
Translation: 	percentage below 0.100000 = 0.231799
Translation: 	percentage below 0.250000 = 0.269800
Translation: 	percentage below 0.500000 = 0.330832
Translation: 	percentage below 0.750000 = 0.396223
Translation: 	Mean=1.507165
