['scene0450_00', 'scene0026_00', 'scene0276_00', 'scene0272_00', 'scene0406_02', 'scene0309_00', 'scene0210_01', 'scene0208_00', 'scene0206_00', 'scene0435_00', 'scene0338_00', 'scene0457_00', 'scene0000_02', 'scene0389_00', 'scene0269_01', 'scene0238_00', 'scene0259_00', 'scene0452_01', 'scene0424_01', 'scene0048_00']
Rotation: 	percentage below 3.000000 = 0.041158
Rotation: 	percentage below 5.000000 = 0.073861
Rotation: 	percentage below 10.000000 = 0.140558
Rotation: 	percentage below 30.000000 = 0.315196
Rotation: 	percentage below 45.000000 = 0.395168
Rotation: Mean=78.952818
Translation: 	percentage below 0.050000 = 0.046128
Translation: 	percentage below 0.100000 = 0.094989
Translation: 	percentage below 0.250000 = 0.202371
Translation: 	percentage below 0.500000 = 0.353665
Translation: 	percentage below 0.750000 = 0.433142
Translation: 	Mean=1.479966
Rotation: 	percentage below 3.000000 = 0.020468
Rotation: 	percentage below 5.000000 = 0.039058
Rotation: 	percentage below 10.000000 = 0.082340
Rotation: 	percentage below 30.000000 = 0.236911
Rotation: 	percentage below 45.000000 = 0.322303
Rotation: Mean=86.261911
Translation: 	percentage below 0.050000 = 0.022617
Translation: 	percentage below 0.100000 = 0.049956
Translation: 	percentage below 0.250000 = 0.133667
Translation: 	percentage below 0.500000 = 0.264355
Translation: 	percentage below 0.750000 = 0.351293
Translation: 	Mean=1.654294
